recordid,occupation,open,operatorinfo,freecapacity,description,lastupdate,name,openingtimedescription,type,categorie,totalcapacity,freeparking
"d6509d76efd21b6b542ee6e7368eaa07e94f2660",22,1,"Mobiliteitsbedrijf Gent",466,"Ondergrondse parkeergarage Vrijdagmarkt in Gent","2022-12-11T22:54:56+01:00","Vrijdagmarkt","24/7","carPark","parking in LEZ",605,0
"991619b92e7d81140386f4a41f781d3418d162f9",43,1,"Mobiliteitsbedrijf Gent",173,"Ondergrondse parkeergarage Sint-Michiels in Gent","2022-12-11T22:54:56+01:00","Sint-Michiels","24/7","carPark","parking in LEZ",304,0
"8cfc9bd9de08255dda1a371270d65db9314340b4",30,1,"Mobiliteitsbedrijf Gent",321,"? parkeergarage Reep in Gent","2022-12-11T22:54:56+01:00","Reep","24/7","carPark","parking in LEZ",459,0
"f5b49caccb1510f54d9ec0870e81f00e9ad916bb",0,1,"Mobiliteitsbedrijf Gent",340,"Bovengrondse parkeergarage Het Getouw in Gent","2022-12-11T22:54:56+01:00","Getouw","24/7","offStreetParkingGround","parking buiten LEZ",340,0
"cd989b32bb5f66c963fec44600086d5095920b12",0,1,"Indigo",550,"Ondergrondse parkeergarage Dok noord in Gent","2022-12-11T22:54:23+01:00","Dok noord","24/7","offStreetParkingGround","parking buiten LEZ",550,0
"f278e2ccdabd2ce2154aa01cb9f077d0ad7c2744",26,1,"Mobiliteitsbedrijf Gent",111,"Ondergrondse parkeergarage Tolhuis in Gent","2022-12-11T22:54:56+01:00","Tolhuis","24/7","offStreetParkingGround","parking in LEZ",150,0
"4e12dbf269150061fb73e0b22802d412552c34ea",86,1,"Skidata",8,"Bovengrondse parkeergarage NMBS Dampoort in Gent","2022-12-09T13:05:46+01:00","B-Park Dampoort","24/7","offStreetParkingGround","parking buiten LEZ",60,0
"5c1ffc8f79394ed5a404c9f9835c9e8212f5ca4a",17,1,"Mobiliteitsbedrijf Gent",435,"Ondergrondse parkeergarage Savaanstraat in Gent","2022-12-11T22:54:56+01:00","Savaanstraat","24/7","carPark","parking in LEZ",525,0
"eac2419f1155d91b0af218828bb1f9041d4f5290",11,1,"Mobiliteitsbedrijf Gent",621,"? parkeergarage Sint-Pietersplein in Gent","2022-12-11T22:54:56+01:00","Sint-Pietersplein","24/7","carPark","parking in LEZ",698,0
"9fbbdcf3766ade8b46bf4b07756658390af86397",24,1,"Mobiliteitsbedrijf Gent",192,"Ondergrondse parkeergarage Ramen in Gent","2022-12-11T22:54:56+01:00","Ramen","24/7","carPark","parking in LEZ",255,0
