recordid,occupation,open,operatorinfo,freecapacity,description,lastupdate,name,openingtimedescription,type,categorie,totalcapacity,freeparking
"fc49f2981ea1a277a0d526717cf07e3a7d197be7",55,1,"Mobiliteitsbedrijf Gent",313,"? parkeergarage Sint-Pietersplein in Gent","2022-12-10T22:48:52+01:00","Sint-Pietersplein","24/7","carPark","parking in LEZ",698,0
"deb4f8203063e6c43deb761c2ca09bc5c9640281",62,1,"Mobiliteitsbedrijf Gent",57,"Ondergrondse parkeergarage Tolhuis in Gent","2022-12-10T22:48:52+01:00","Tolhuis","24/7","offStreetParkingGround","parking in LEZ",150,0
"9c4229ddabc8843480e0f1df631b01ab0a2bc6b4",15,1,"Mobiliteitsbedrijf Gent",424,"Bovengrondse parkeergarage Ledeberg in Gent","2022-12-10T22:48:52+01:00","Ledeberg","24/7","offStreetParkingGround","parking buiten LEZ",500,0
"921f5fa01b0e165d2fb17b984be025073af42993",88,1,"Mobiliteitsbedrijf Gent",35,"Ondergrondse parkeergarage Sint-Michiels in Gent","2022-12-10T22:48:52+01:00","Sint-Michiels","24/7","carPark","parking in LEZ",301,0
"0c89fe41a8c7c8a27ff2ed8f964cbbcaeb09bc84",0,1,"Mobiliteitsbedrijf Gent",340,"Bovengrondse parkeergarage Het Getouw in Gent","2022-12-10T22:48:52+01:00","Getouw","24/7","offStreetParkingGround","parking buiten LEZ",340,0
"4e12dbf269150061fb73e0b22802d412552c34ea",86,1,"Skidata",8,"Bovengrondse parkeergarage NMBS Dampoort in Gent","2022-12-09T13:05:46+01:00","B-Park Dampoort","24/7","offStreetParkingGround","parking buiten LEZ",60,0
"38f6e1f4d48d0f3ab6ddf6f6e9e899bb2a246761",9,1,"Indigo",496,"Ondergrondse parkeergarage Dok noord in Gent","2022-12-10T22:47:23+01:00","Dok noord","24/7","offStreetParkingGround","parking buiten LEZ",550,0
"1619cddc74bbece72b680630ac7fa9cfb0a74456",84,1,"Mobiliteitsbedrijf Gent",95,"Ondergrondse parkeergarage Vrijdagmarkt in Gent","2022-12-10T22:48:52+01:00","Vrijdagmarkt","24/7","carPark","parking in LEZ",605,0
"22f98cbf2ad6d56883180cae998a5e55f6337aa9",68,1,"Mobiliteitsbedrijf Gent",165,"Ondergrondse parkeergarage Savaanstraat in Gent","2022-12-10T22:48:52+01:00","Savaanstraat","24/7","carPark","parking in LEZ",525,0
"b5ba8e37aedf2be6a842e74bc3a8b52551c5b94d",82,1,"Mobiliteitsbedrijf Gent",81,"? parkeergarage Reep in Gent","2022-12-10T22:48:52+01:00","Reep","24/7","carPark","parking in LEZ",459,0
